Marca,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
FIAT,10334370.0,5490600.0,3483840.0,3844200.0,4903245.0,5500065.0,3798000.0,6219855.0,5624025.0,5690160.0,7172235.0,3454140.0,84873195
CHEVROLET,8559420.0,5820765.0,2285955.0,5949255.0,5199345.0,6159270.0,5164890.0,3606495.0,4334925.0,5020320.0,4878060.0,2062635.0,73828560
VOLKSWAGEN,8601060.0,4186470.0,3701730.0,3617730.0,5040675.0,4617150.0,4957215.0,4335510.0,3270165.0,5062170.0,5805135.0,3633660.0,71503320
HYUNDAI,2814240.0,1690560.0,3052905.0,3195105.0,3205035.0,3164205.0,1857645.0,2405520.0,2943885.0,2956890.0,3126630.0,1582530.0,37529670
TOYOTA,2193045.0,2538615.0,2777190.0,2926830.0,2597460.0,2860335.0,2078040.0,2420385.0,2090730.0,2715990.0,3058830.0,1593780.0,35036280
RENAULT,3550815.0,2707980.0,2250090.0,2514375.0,3316605.0,3602730.0,1987740.0,1810485.0,1972605.0,1860675.0,1959990.0,1217235.0,32188710
FORD,4620330.0,3791340.0,2685720.0,3137175.0,2150400.0,3535950.0,2156070.0,617460.0,474375.0,611970.0,938805.0,309900.0,30434100
HONDA,974730.0,1616325.0,1854750.0,2068500.0,2059425.0,1756350.0,1322280.0,1050525.0,963210.0,1261620.0,1398600.0,476805.0,20814525
JEEP,248085.0,729300.0,238425.0,1413360.0,1645530.0,1992570.0,1696650.0,2262675.0,2089740.0,1984140.0,1899225.0,1002465.0,17131185
NISSAN,689670.0,678000.0,829485.0,866925.0,1462605.0,641625.0,1039290.0,1040865.0,850575.0,1018560.0,1320135.0,587595.0,13890870
CITROËN,1047375.0,528795.0,525600.0,479580.0,339720.0,510825.0,522105.0,430290.0,206325.0,518910.0,664335.0,270000.0,6039930
PEUGEOT,823815.0,497745.0,669225.0,809055.0,721065.0,437460.0,346995.0,650970.0,747150.0,604545.0,609060.0,330480.0,5746935
MITSUBISHI,817995.0,508635.0,414810.0,448575.0,610110.0,421485.0,301800.0,359820.0,345570.0,254235.0,333450.0,240570.0,5496720
CAOA,246615.0,172455.0,322800.0,125625.0,155310.0,249900.0,267495.0,654465.0,653655.0,631500.0,930585.0,524910.0,4196835
BMW,473760.0,1005300.0,599745.0,486675.0,702060.0,507405.0,737955.0,849390.0,456360.0,630660.0,693345.0,643485.0,2548410
MERCEDES,587550.0,644895.0,715650.0,753345.0,395235.0,330795.0,386685.0,472230.0,600000.0,577230.0,765345.0,582315.0,2306985
BYD,0.0,150.0,1950.0,3150.0,6900.0,1200.0,3000.0,20250.0,39000.0,345060.0,1313070.0,1054740.0,2291130
KIA,537450.0,332625.0,352110.0,311970.0,326865.0,261780.0,144120.0,269220.0,438660.0,257400.0,268425.0,168015.0,2068110
AUDI,485430.0,722940.0,640860.0,407655.0,457815.0,419325.0,218475.0,434310.0,376770.0,429030.0,322110.0,405900.0,1610730
